Sample_ID,Sample_Project,datatype,sampletype,date,filtertype
061902_b,Boat_Microbiome,water,water,619,post
061903_a,Boat_Microbiome,water,water,619,pre
061903_b,Boat_Microbiome,water,water,619,post
0619B_b,Boat_Microbiome,water,water,619,post
0619bilge_a,Boat_Microbiome,bilge,bilge,619,pre
0619boatback_s,Boat_Microbiome,swab,boatback,619,swab
0619boatside_s,Boat_Microbiome,swab,boatside,619,swab
0619dock_s,Boat_Microbiome,dock,dock,619,swab
0619I1_a,Boat_Microbiome,water,water,619,pre
0619I2_a,Boat_Microbiome,water,water,619,pre
0619I2_b1,Boat_Microbiome,water,water,619,post
0619I2_b2,Boat_Microbiome,water,water,619,post
0619I3_a,Boat_Microbiome,water,water,619,pre
0619I3_b,Boat_Microbiome,water,water,619,post
0620B_a,Boat_Microbiome,water,water,620,pre
0620I3_a,Boat_Microbiome,water,water,620,pre
0620I3_b,Boat_Microbiome,water,water,620,post
062001_a,Boat_Microbiome,water,water,620,pre
062001_b,Boat_Microbiome,water,water,620,post
062002_a,Boat_Microbiome,water,water,620,pre
062002_b,Boat_Microbiome,water,water,620,post
062003_a,Boat_Microbiome,water,water,620,pre
062003_b,Boat_Microbiome,water,water,620,post
0620air1_b,Boat_Microbiome,air,air,620,post
0620air2_b,Boat_Microbiome,air,air,620,post
0620air3_a,Boat_Microbiome,air,air,620,pre
0620bilge_a,Boat_Microbiome,bilge,bilge,620,pre
0620boatback_s,Boat_Microbiome,swab,boatback,620,swab
0620boatside_s,Boat_Microbiome,swab,boatside,620,swab
0620dock_s,Boat_Microbiome,dock,dock,620,swab
0620I1_a,Boat_Microbiome,water,water,620,pre
0620I1_b,Boat_Microbiome,water,water,620,post
0620B_b,Boat_Microbiome,water,water,620,post
0620I2_a,Boat_Microbiome,water,water,620,pre
0620I2_b,Boat_Microbiome,water,water,620,post
062101_a,Boat_Microbiome,water,water,621,pre
062101_b,Boat_Microbiome,water,water,621,post
062102_a,Boat_Microbiome,water,water,621,pre
062102_b,Boat_Microbiome,water,water,621,post
062103_a,Boat_Microbiome,water,water,621,pre
062103_b,Boat_Microbiome,water,water,621,post
0621air1_b,Boat_Microbiome,air,air,621,post
0621air2_b,Boat_Microbiome,air,air,621,post
0621air3_b,Boat_Microbiome,air,air,621,post
0621B_a,Boat_Microbiome,water,water,621,pre
0621B_b,Boat_Microbiome,water,water,621,post
0621bilge_a,Boat_Microbiome,bilge,bilge,621,pre
0621boatback_s,Boat_Microbiome,swab,boatback,621,swab
0621boatside_s,Boat_Microbiome,swab,boatside,621,swab
0621dock_s,Boat_Microbiome,dock,dock,621,swab
0621I1_a,Boat_Microbiome,water,water,621,pre
0621I1_b,Boat_Microbiome,water,water,621,post
0621I2_a,Boat_Microbiome,water,water,621,pre
0621I2_b,Boat_Microbiome,water,water,621,post
0621I3_a,Boat_Microbiome,water,water,621,pre
0621I3_b,Boat_Microbiome,water,water,621,post
062201_a,Boat_Microbiome,water,water,622,pre
062201_b,Boat_Microbiome,water,water,622,post
062202_a,Boat_Microbiome,water,water,622,pre
062202_b,Boat_Microbiome,water,water,622,post
062203_a,Boat_Microbiome,water,water,622,pre
062203_b,Boat_Microbiome,water,water,622,post
0622air1_b,Boat_Microbiome,air,air,622,post
0622air2_b,Boat_Microbiome,air,air,622,post
0622air3_a,Boat_Microbiome,air,air,622,pre
0622bilge_a1,Boat_Microbiome,bilge,bilge,622,pre
0622bilge_b,Boat_Microbiome,bilge,bilge,622,post
0622bilge_a2,Boat_Microbiome,bilge,bilge,622,pre
0622boatside_s,Boat_Microbiome,swab,boatside,622,swab
0622boatback_s,Boat_Microbiome,swab,boatback,622,swab
0622dock_s,Boat_Microbiome,dock,dock,622,swab
0622I1_a,Boat_Microbiome,water,water,622,pre
0622I1_b,Boat_Microbiome,water,water,622,post
0622I2_a,Boat_Microbiome,water,water,622,pre
0622I2_b,Boat_Microbiome,water,water,622,post
0622I3_a,Boat_Microbiome,water,water,622,pre
0622I3_b,Boat_Microbiome,water,water,622,post
062501_a,Boat_Microbiome,water,water,625,pre
062501_b,Boat_Microbiome,water,water,625,post
062502_a,Boat_Microbiome,water,water,625,pre
062503_a,Boat_Microbiome,water,water,625,pre
062502_b,Boat_Microbiome,water,water,625,post
062503_b,Boat_Microbiome,water,water,625,post
0625air1_b,Boat_Microbiome,air,air,625,post
0625air2_b,Boat_Microbiome,air,air,625,post
0625air3_b,Boat_Microbiome,air,air,625,post
0625B_a,Boat_Microbiome,water,water,625,pre
0625B_b,Boat_Microbiome,water,water,625,post
0625bilge_a,Boat_Microbiome,bilge,bilge,625,pre
0625boatback_s,Boat_Microbiome,swab,boatback,625,swab
0625boatside_s,Boat_Microbiome,swab,boatside,625,swab
0625dock_s,Boat_Microbiome,dock,dock,625,swab
0625I1_a,Boat_Microbiome,water,water,625,pre
1108pcrblank1,Boat_Microbiome,blank,blank,1108,blank
1108pcrblank2,Boat_Microbiome,blank,blank,1108,blank
1108pcrblank3,Boat_Microbiome,blank,blank,1108,blank
0625I1_b,Boat_Microbiome,water,water,625,post
0625I2_a,Boat_Microbiome,water,water,625,pre
0625I2_b,Boat_Microbiome,water,water,625,post
0625I3_a,Boat_Microbiome,water,water,625,pre
0625I3_b,Boat_Microbiome,water,water,625,post
062601_a,Boat_Microbiome,water,water,626,pre
062601_b,Boat_Microbiome,water,water,626,post
062602_a,Boat_Microbiome,water,water,626,pre
062602_b,Boat_Microbiome,water,water,626,post
062603_a,Boat_Microbiome,water,water,626,pre
062603_b,Boat_Microbiome,water,water,626,post
0626air1_b,Boat_Microbiome,water,water,626,post
0626air2_b,Boat_Microbiome,air,air,626,post
0626air3_b,Boat_Microbiome,air,air,626,post
0626B_a,Boat_Microbiome,air,air,626,pre
0626B_b,Boat_Microbiome,water,water,626,post
0626bilge_a,Boat_Microbiome,bilge,bilge,626,pre
0626boatback_s,Boat_Microbiome,swab,boatback,626,swab
0627boatback_s,Boat_Microbiome,swab,boatback,627,swab
0626boatside_s,Boat_Microbiome,swab,boatside,626,swab
0626dock_s,Boat_Microbiome,dock,dock,626,swab
